id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48400066,Bordeaux lac et 15 mn de la gare,277393861,Soso,Bruges,Bruges,44.87753,-0.59708,Private room,90,1,0,,,2,101,0,
47935733,Studio en résidence - Whoo Bordeaux Bacalan,384187732,Whoo,Bordeaux,Bordeaux Maritime,44.8644,-0.5529,Entire home/apt,73,7,45,2022-08-21,2.81,6,98,28,Exempt - hotel-type listing
48400367,Chambre privé pour femme de passage,277393861,Soso,Bruges,Bruges,44.87839,-0.59661,Private room,31,1,0,,,2,0,0,
48218515,Chambres d'Hôtes de Charme - 'La Bordelaise',70769701,Florence,Floirac,Floirac,44.83655,-0.51167,Private room,190,2,0,,,3,80,0,
48218766,Chambres d'Hôtes de Charme - 'Côté Jardin',70769701,Florence,Floirac,Floirac,44.8347,-0.51287,Private room,190,2,0,,,3,91,0,
47948809,T3 Superbe duplex archi terrasse,53936189,Tristana,Bordeaux,Bordeaux Sud,44.83304,-0.57011,Entire home/apt,250,2,20,2022-08-23,7.69,3,0,20,33063007813D2
48219588,Appartement Hausmanien centre de Bordeaux,222767528,Arnaud,Bordeaux,Centre ville (Bordeaux),44.8445,-0.58406,Entire home/apt,177,2,2,2021-06-13,0.11,5,316,0,33063005475CF
47961708,Bordeaux centre ville appartement pour couple,386601165,Baptiste,Bordeaux,Nansouty - Saint Gens,44.82562,-0.57126,Private room,25,1,1,2021-02-23,0.05,1,0,0,
48219982,Bel appartement de 47m2 avec jardin-terrasse,65013435,Jonas,Cenon,Palmer-Gravires-Cavailles,44.85477,-0.52635,Entire home/apt,42,3,14,2022-09-03,1.10,1,20,13,
48413700,Maison spacieuse proche Bordeaux centre - Piscine,136243677,Maxime,Le Bouscat,Le Bouscat,44.86471,-0.58439,Entire home/apt,300,3,5,2022-08-07,0.35,1,120,1,
47973848,Joli logement aux portes de Bordeaux et du Médoc,46306871,Caroline Et Marc,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.88763,-0.70121,Entire home/apt,46,2,70,2022-08-28,3.85,1,177,43,
48416963,GuestReady Maison Labruyère Bordeaux Royal Cosy,384683515,Maison Labruyere,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.8506,-0.57878,Entire home/apt,213,1,64,2022-09-03,3.86,8,324,46,33063004238B4
48416966,GuestReady Maison Labruyère Bordeaux Duplex Suite,384683515,Maison Labruyere,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85012,-0.57966,Entire home/apt,236,1,45,2022-09-02,2.77,8,322,36,33063004237AE
48416994,GuestReady Maison Labruyère Bordeaux Royal Garden,384683515,Maison Labruyere,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85008,-0.57774,Entire home/apt,225,1,60,2022-08-17,3.70,8,329,41,330630042349C
48226559,Un morceau de campagne à 3km de Bordeaux,200843469,Alain,Pessac,Verthamon,44.81943,-0.61501,Entire home/apt,44,3,25,2022-07-26,1.55,1,16,17,
48226783,Joli studio lumineux refait à neuf dans le centre,29793100,Sophie,Bordeaux,Bordeaux Maritime,44.85756,-0.56276,Entire home/apt,50,30,3,2022-06-12,0.22,3,252,2,"Available with a mobility lease only (""bail mobilité"")"
48236479,Joli studio Talence proche Tram B,65850121,Séverine,Talence,Talence,44.80761,-0.60143,Entire home/apt,45,10,6,2022-07-31,0.39,1,0,3,
47976812,"Location Standing avec Spa, Hammam, Sauna privés !",23649668,Yoann,Bouliac,Bouliac,44.82021,-0.48781,Entire home/apt,166,2,27,2022-08-20,1.40,1,358,13,
48236797,Suites d'Aliénor Suite Jasmin : studio avec jardin,126461602,Nathalie,Pessac,Le Bourg,44.80872,-0.63283,Entire home/apt,72,2,50,2022-08-27,2.65,5,276,24,
48417173,GuestReady Maison Labruyère Bordeaux Royal Garden,384683515,Maison Labruyere,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84946,-0.57938,Entire home/apt,236,1,31,2022-09-07,2.06,8,328,24,3306300423290
48434678,Charmant T2 avec loggia au Bouscat,164927746,Julien,Le Bouscat,Le Bouscat,44.86954,-0.60883,Entire home/apt,69,5,2,2021-11-01,0.18,1,0,2,
47979696,Appartement cosy avec parking sécurisé,68128692,Stéphane,Talence,Talence,44.8059,-0.58086,Entire home/apt,34,20,16,2022-07-28,0.87,1,35,11,
47984087,"Bordeaux centre , Charmant appartement",121722872,Fanny,Bordeaux,Centre ville (Bordeaux),44.84483,-0.58529,Entire home/apt,44,6,4,2022-07-26,0.23,1,227,2,3306300725199
48437514,*EMILE* 2 chambres proche hyper-centre,17832583,Albane,Bordeaux,Centre ville (Bordeaux),44.848,-0.58561,Entire home/apt,57,30,5,2022-09-02,0.38,18,124,4,"Available with a mobility lease only (""bail mobilité"")"
47986378,Charmant studio Nansouty,390200553,Happy Team,Bordeaux,Nansouty - Saint Gens,44.81867,-0.57268,Entire home/apt,55,1,18,2022-06-25,1.10,26,261,12,3306300511245
48242706,"Chambre chez l'habitant,en bord de Garonne",152930108,Marie,Bordeaux,La Bastide,44.84256,-0.56259,Private room,55,2,26,2022-09-03,1.59,1,132,13,
